model,item,feature,value,shap_value,expected_value
DRF_1,28,TSS,19.9,-0.20325063957631279,2.8772500915049806
DRF_1,29,TSS,20.3,-0.31168905334078767,2.768811677740506
DRF_1,30,TSS,21.1,-0.20820769369166264,2.872293037389631
DRF_1,31,TSS,21.5,-0.07453855989794997,3.0059621711833437
DRF_1,32,TSS,21.2,-0.18779696635248339,2.89270376472881
DRF_1,33,TSS,21.6,0.057885599436989954,3.1383863305182835
DRF_1,34,TSS,21.4,-0.16422240494897553,2.916278326132318
DRF_1,35,TSS,21.9,0.06358887669113084,3.1440896077724245
DRF_1,36,TSS,21.4,-0.14748949193727745,2.933011239144016
DRF_1,37,TSS,24.8,0.2260599415422519,3.3065606726235455
DRF_1,38,TSS,20,-0.2885942068495584,2.7919065242317354
DRF_1,39,TSS,22.2,0.013241654468907092,3.0937423855502004
DRF_1,40,TSS,22.8,0.04538255359171403,3.1258832846730074
DRF_1,41,TSS,23.1,0.025531493650194054,3.1060322247314875
DRF_1,42,TSS,23,0.004161336486451256,3.084662067567745
DRF_1,43,TSS,19.7,-0.3174913194226583,2.7630094116586355
DRF_1,44,TSS,22.7,0.15616624024614992,3.2366669713274434
DRF_1,45,TSS,21.3,-0.07531524120628452,3.005185489875009
DRF_1,46,TSS,22.7,0.08617355018767023,3.1666742812689637
DRF_1,47,TSS,22.1,-0.04713008650823594,3.0333706445730577
DRF_1,48,TSS,22.2,-0.09009883650823625,2.9904018945730573
GBM_2,1,Anth,299,-0.7854588776465974,2.319649938418339
GBM_2,2,Anth,544,-0.770708426005198,2.3344003900597388
GBM_2,3,Anth,522,-0.8060490327434188,2.2990597833215176
GBM_2,4,Anth,478,-0.7354017863953014,2.369707029669635
GBM_2,5,Anth,588,-0.6811691004251342,2.4239397156398024
GBM_2,6,Anth,677,-0.3603409704513817,2.7447678456135547
GBM_2,7,Anth,639,-0.4933359968376868,2.61177281922725
GBM_2,8,Anth,494,-0.8408575477183157,2.2642512683466207
GBM_2,9,Anth,609,-0.5157792974194617,2.589329518645475
GBM_2,10,Anth,565,-0.7457250462932619,2.3593837697716746
GBM_2,11,Anth,655,-0.4753554062713705,2.629753409793566
GBM_2,12,Anth,861,0.6641682261983624,3.769277042263299
GBM_2,13,Anth,642,-0.500613752337548,2.6044950637273887
GBM_2,14,Anth,436,-0.7831764628460991,2.3219323532188376
GBM_2,15,Anth,576,-0.7458212368789482,2.359287579185988
GBM_2,16,Anth,506,-0.7296259599590824,2.375482856105854
GBM_2,17,Anth,749,-0.18777809863747885,2.9173307174274576
GBM_2,18,Anth,571,-0.7403657969945502,2.3647430190703864
GBM_2,19,Anth,761,-0.19080197562769527,2.9143068404372414
GBM_2,20,Anth,499,-0.8281200941203491,2.2769887219445875
GBM_2,21,Anth,754,-0.18417731619179056,2.920931499873146
GBM_2,22,Anth,725,-0.19358379856265656,2.9115250175022798
GBM_2,23,Anth,833,0.5088666691223447,3.6139754851872814
GBM_2,24,Anth,830,0.5480485395621151,3.6531573556270516
GBM_2,25,Anth,933,1.038493895610371,4.143602711675308
GBM_2,26,Anth,613,-0.5262565854190041,2.5788522306459325
GBM_2,27,Anth,548,-0.8101484396151801,2.2949603764497564
GBM_2,28,Anth,765,-0.18309373989059347,2.922015076174343
GBM_2,29,Anth,683,-0.3987897314418972,2.7063190846230394
GBM_2,30,Anth,922,1.1279913402401527,4.233100156305089
GBM_2,31,Anth,763,-0.17169997911987683,2.9334088369450595
GBM_2,32,Anth,518,-0.8285697557579408,2.2765390603069955
GBM_2,33,Anth,656,-0.49643635954174115,2.6086724565231956
GBM_2,34,Anth,644,-0.4449635534504576,2.660145262614479
GBM_2,35,Anth,758,-0.1570658068920733,2.948043009172863
GBM_2,36,Anth,877,0.770146839693161,3.8752556557580977
GBM_2,37,Anth,901,0.6035584966385962,3.7086673127035326
GBM_2,38,Anth,480,-0.7621770409343505,2.342931775130586
GBM_2,39,Anth,793,-0.13568820543494958,2.969420610629987
GBM_2,40,Anth,718,-0.20315689647902802,2.9019519195859083
GBM_2,41,Anth,784,-0.18241058520801046,2.922698230856926
GBM_2,42,Anth,765,-0.2125183858591797,2.8925904302057566
GBM_2,43,Anth,481,-0.8319881076207217,2.273120708444215
GBM_2,44,Anth,655,-0.5078832178438054,2.597225598221131
GBM_2,45,Anth,469,-0.7924414185265629,2.3126673975383736
GBM_2,46,Anth,585,-0.6434967507896728,2.4616120652752636
GBM_2,47,Anth,684,-0.41392098726754456,2.691187828797392
GBM_2,48,Anth,497,-0.7728185797649302,2.332290236300006
GBM_2,1,BW,1.99,-0.08722624813393987,3.0178825679309966
GBM_2,2,BW,1.88,-0.019529395079782574,3.085579420985154
GBM_2,3,BW,1.93,-0.035772160720208834,3.0693366553447277
GBM_2,4,BW,2.11,-0.4189181932172872,2.6861906228476493
GBM_2,5,BW,2.01,-0.47535886120991,2.6297499548550265
GBM_2,6,BW,1.98,-0.0986450804144528,3.0064637356504837
GBM_2,7,BW,1.73,0.00239789732177087,3.1075067133867074
GBM_2,8,BW,1.75,-0.05235617858958519,3.0527526374753515
GBM_2,9,BW,1.67,0.0867591935948695,3.1918680096598058
GBM_2,10,BW,2.06,-0.682347637482219,2.4227611785827174
GBM_2,11,BW,1.85,0.056272686978496356,3.1613815030434327
GBM_2,12,BW,2.03,-0.6324247857044553,2.4726840303604813
GBM_2,13,BW,2.01,-0.5946928212630644,2.510415994801872
GBM_2,14,BW,1.99,-0.08222145179164908,3.0228873642732874
GBM_2,15,BW,2.1,-0.6488153767530531,2.4562934393118834
GBM_2,16,BW,2.11,-0.6724002543668106,2.432708561698126
GBM_2,17,BW,1.9,-0.10621366655348902,2.9988951495114473
GBM_2,18,BW,2.02,-0.6186560488145393,2.4864527672503973
GBM_2,19,BW,1.52,0.4219119919581479,3.5270208080230843
GBM_2,20,BW,1.73,-0.017965293834852236,3.0871435222300843
GBM_2,21,BW,1.48,0.31553244963157634,3.4206412656965126
GBM_2,22,BW,1.89,-0.10048698810104278,3.0046218279638937
GBM_2,23,BW,1.73,0.006680258819622642,3.111789074884559
GBM_2,24,BW,1.92,-0.05340398985388484,3.0517048262110515
GBM_2,25,BW,1.6,0.41491608406851,3.5200249001334463
GBM_2,26,BW,1.73,-3.107584363233329e-4,3.104798057628613
GBM_2,27,BW,1.77,0.04825760383851696,3.1533664199034535
GBM_2,28,BW,1.75,-0.008273369848128764,3.096835446216808
GBM_2,29,BW,1.84,0.012965425965963617,3.1180742420309002
GBM_2,30,BW,1.97,-0.05347778936547609,3.0516310266994604
GBM_2,31,BW,1.67,0.06752046714524323,3.17262928321018
GBM_2,32,BW,1.93,-0.028364974583874325,3.076743841481062
GBM_2,33,BW,1.87,0.051934923437949365,3.157043739502886
GBM_2,34,BW,1.82,0.11938183417527803,3.2244906502402144
GBM_2,35,BW,1.89,-0.07716089578748456,3.0279479202774517
GBM_2,36,BW,1.95,-0.02923450484294865,3.075874311221988
GBM_2,37,BW,1.71,0.01499603020473228,3.120104846269669
GBM_2,38,BW,1.69,0.004325440578365258,3.1094342566433015
GBM_2,39,BW,1.73,0.011703973255186129,3.1168127893201225
GBM_2,40,BW,1.95,-0.10609096613143887,2.9990178499334976
GBM_2,41,BW,2.01,-0.6359510605315047,2.469157755533432
GBM_2,42,BW,2.28,-0.6550505608950384,2.450058255169898
GBM_2,43,BW,1.8,0.04713176268286512,3.1522405787478016
GBM_2,44,BW,1.83,0.07776615486914684,3.1828749709340833
GBM_2,45,BW,2.12,-0.49009650404603833,2.615012312018898
GBM_2,46,BW,2.02,-0.5995131712884754,2.505595644776461
GBM_2,47,BW,2.21,-0.632918932226511,2.4721898838384258
GBM_2,48,BW,2.23,-0.614563244410104,2.4905455716548324
GBM_2,1,TA,6.45,0.016975699708250136,3.1220845157731865
GBM_2,2,TA,6,-0.1300594183459408,2.975049397718996
GBM_2,3,TA,6.3,-0.09218216736415263,3.012926648700784
GBM_2,4,TA,6.6,0.07313178790846953,3.178240603973406
GBM_2,5,TA,6.3,-0.1055022168644335,2.999606599200503
GBM_2,6,TA,6.9,0.42146330471690113,3.5265721207818377
GBM_2,7,TA,6.45,0.02051526539853976,3.125624081463476
GBM_2,8,TA,6.6,0.058221634676803025,3.1633304507417397
GBM_2,9,TA,6.53,0.008452686180912272,3.1135615022458487
GBM_2,10,TA,7.2,0.3337065572691959,3.4388153733341325
GBM_2,11,TA,6.6,0.08171576701103853,3.186824583075975
GBM_2,12,TA,6.75,0.1820549707298949,3.2871637867948316
GBM_2,13,TA,5.85,-0.2354345028477946,2.869674313217142
GBM_2,14,TA,5.7,-0.08876313239229128,3.016345683672645
GBM_2,15,TA,6.75,0.20480446866897392,3.3099132847339106
GBM_2,16,TA,7.28,0.3345241726697874,3.439632988734724
GBM_2,17,TA,6.6,0.0557618644880452,3.1608706805529816
GBM_2,18,TA,6.6,0.07477966156751104,3.1798884776324474
GBM_2,19,TA,5.55,-0.16060956128205234,2.944499254782884
GBM_2,20,TA,5.55,-0.15178922416175822,2.9533195919031785
GBM_2,21,TA,6,-0.1447941087738262,2.9603147072911105
GBM_2,22,TA,5.25,-0.16543238706772356,2.939676428997213
GBM_2,23,TA,5.63,-0.15716161751288943,2.947947198552047
GBM_2,24,TA,6.75,0.21417419460576953,3.319283010670706
GBM_2,25,TA,6.15,-0.11309400582059148,2.992014810244345
GBM_2,26,TA,5.48,-0.16861212875620085,2.9364966873087357
GBM_2,27,TA,6.75,0.2572620051366755,3.362370821201612
